timestamp num_ops machine arquivo
1318861552181007 4237 ourico 2011_10_17
1318862152181007 1420 ourico 2011_10_17
1318862752181007 1590 ourico 2011_10_17
1318863352181007 1268 ourico 2011_10_17
1318863952181007 1274 ourico 2011_10_17
1318864552181007 1312 ourico 2011_10_17
1318865152181007 1307 ourico 2011_10_17
1318865752181007 1311 ourico 2011_10_17
1318866352181007 1265 ourico 2011_10_17
1318866952181007 1334 ourico 2011_10_17
1318867552181007 1326 ourico 2011_10_17
1318868152181007 1304 ourico 2011_10_17
1318868752181007 1292 ourico 2011_10_17
1318869352181007 1171 ourico 2011_10_17
1318869952181007 1144 ourico 2011_10_17
1318870552181007 1159 ourico 2011_10_17
1318871152181007 1155 ourico 2011_10_17
1318871752181007 1485 ourico 2011_10_17
1318872352181007 1316 ourico 2011_10_17
1318872952181007 18 ourico 2011_10_17
1318873552181007 29 ourico 2011_10_17
1318874152181007 26 ourico 2011_10_17
1318874752181007 22 ourico 2011_10_17
1318875352181007 22 ourico 2011_10_17
1318875952181007 14 ourico 2011_10_17
1318876552181007 25 ourico 2011_10_17
1318877152181007 21 ourico 2011_10_17
1318877752181007 19 ourico 2011_10_17
1318878352181007 26 ourico 2011_10_17
1318878952181007 25 ourico 2011_10_17
1318879552181007 23 ourico 2011_10_17
1318880152181007 15 ourico 2011_10_17
1318880752181007 12 ourico 2011_10_17
1318881352181007 26 ourico 2011_10_17
1318881952181007 14 ourico 2011_10_17
1318882552181007 32 ourico 2011_10_17
1318883152181007 30 ourico 2011_10_17
1318883752181007 25 ourico 2011_10_17
1318884352181007 16 ourico 2011_10_17
1318884952181007 65 ourico 2011_10_17
1318885552181007 31 ourico 2011_10_17
1318886152181007 35 ourico 2011_10_17
1318886752181007 26 ourico 2011_10_17
1318887352181007 14 ourico 2011_10_17
1318887952181007 85 ourico 2011_10_17
1318888552181007 23 ourico 2011_10_17
1318889152181007 15 ourico 2011_10_17
1318889752181007 105 ourico 2011_10_17
1318890352181007 62 ourico 2011_10_17
1318890952181007 60 ourico 2011_10_17
1318891552181007 61 ourico 2011_10_17
1318892152181007 98 ourico 2011_10_17
1318892752181007 53 ourico 2011_10_17
1318893352181007 46 ourico 2011_10_17
1318893952181007 49 ourico 2011_10_17
1318894552181007 15 ourico 2011_10_17
1318895152181007 43 ourico 2011_10_17
1318895752181007 57 ourico 2011_10_17
1318896352181007 42 ourico 2011_10_17
1318897552181007 54 ourico 2011_10_17
1318898152181007 44 ourico 2011_10_17
1318898752181007 54 ourico 2011_10_17
1318899352181007 17 ourico 2011_10_17
1318899952181007 53 ourico 2011_10_17
1318900552181007 18 ourico 2011_10_17
1318901152181007 16 ourico 2011_10_17
1318901752181007 54 ourico 2011_10_17
1318902352181007 32 ourico 2011_10_17
1318902952181007 109 ourico 2011_10_17
1318903552181007 23 ourico 2011_10_17
1318904152181007 49 ourico 2011_10_17
1318904752181007 42 ourico 2011_10_17
1318905352181007 61 ourico 2011_10_17
1318905952181007 54 ourico 2011_10_17
1318906552181007 44 ourico 2011_10_17
1318820752181007 144331 palmito 2011_10_17
1318821352181007 144422 palmito 2011_10_17
1318821952181007 145685 palmito 2011_10_17
1318822552181007 144339 palmito 2011_10_17
1318823152181007 144175 palmito 2011_10_17
1318823752181007 150860 palmito 2011_10_17
1318824352181007 144817 palmito 2011_10_17
1318824952181007 144424 palmito 2011_10_17
1318825552181007 145120 palmito 2011_10_17
1318826152181007 144315 palmito 2011_10_17
1318826752181007 144159 palmito 2011_10_17
1318827352181007 145060 palmito 2011_10_17
1318827952181007 144803 palmito 2011_10_17
1318828552181007 144418 palmito 2011_10_17
1318829152181007 145175 palmito 2011_10_17
1318829752181007 144319 palmito 2011_10_17
1318830352181007 144168 palmito 2011_10_17
1318830952181007 145130 palmito 2011_10_17
1318831552181007 144810 palmito 2011_10_17
1318832152181007 144414 palmito 2011_10_17
1318832752181007 145148 palmito 2011_10_17
1318833352181007 144314 palmito 2011_10_17
1318833952181007 144155 palmito 2011_10_17
1318834552181007 145065 palmito 2011_10_17
1318835152181007 144816 palmito 2011_10_17
1318835752181007 144414 palmito 2011_10_17
1318836352181007 145377 palmito 2011_10_17
1318836952181007 144321 palmito 2011_10_17
1318837552181007 144161 palmito 2011_10_17
1318838152181007 145215 palmito 2011_10_17
1318838752181007 144809 palmito 2011_10_17
